"","...1","Project","Replication","Lab","DV","Group"
"1",1,"ML1","Nosek1","abington",0.360161457691847,1
"2",2,"ML1","Nosek1","abington",0.581444847764639,1
"3",3,"ML1","Nosek1","abington",0.131484638983778,1
"4",4,"ML1","Nosek1","abington",0.744463326542704,0
"5",5,"ML1","Nosek1","abington",0.0115336979637312,0
"6",7,"ML1","Nosek1","abington",0.845209463062227,1
"7",8,"ML1","Nosek1","abington",0.034177470524869,0
"8",9,"ML1","Nosek1","abington",0.558535739254573,0
"9",10,"ML1","Nosek1","abington",1.04127858872729,1
"10",11,"ML1","Nosek1","abington",0.360377187303815,1
"11",12,"ML1","Nosek1","abington",-0.316108240536468,1
"12",13,"ML1","Nosek1","abington",1.00793875568728,1
"13",14,"ML1","Nosek1","abington",-0.473005799193842,1
"14",15,"ML1","Nosek1","abington",0.921575925423416,1
"15",16,"ML1","Nosek1","abington",0.426062042100181,1
"16",17,"ML1","Nosek1","abington",0.547230756690675,1
"17",19,"ML1","Nosek1","abington",0.320491403332173,1
"18",20,"ML1","Nosek1","abington",0.495847179159044,1
"19",21,"ML1","Nosek1","abington",-0.0642432155846038,1
"20",22,"ML1","Nosek1","abington",-0.216627140284886,1
"21",23,"ML1","Nosek1","abington",1.1215742184235,1
"22",24,"ML1","Nosek1","abington",-0.836691782998749,0
"23",25,"ML1","Nosek1","abington",0.174957786348946,0
"24",26,"ML1","Nosek1","abington",-0.300082796810257,1
"25",27,"ML1","Nosek1","abington",1.17087428665075,1
"26",28,"ML1","Nosek1","abington",0.92431165187334,1
"27",29,"ML1","Nosek1","abington",0.153596098188711,0
"28",30,"ML1","Nosek1","abington",0.512468857218543,0
"29",31,"ML1","Nosek1","abington",-0.333545542143543,0
"30",33,"ML1","Nosek1","abington",-0.408730768341645,0
"31",34,"ML1","Nosek1","abington",-0.103416736274455,1
"32",35,"ML1","Nosek1","abington",-0.0693865241434345,0
"33",36,"ML1","Nosek1","abington",-0.47883818878969,0
"34",37,"ML1","Nosek1","abington",0.266863346949264,0
"35",38,"ML1","Nosek1","abington",0.0542811825812417,1
"36",39,"ML1","Nosek1","abington",1.12485675159476,1
"37",40,"ML1","Nosek1","abington",0.710965450176251,1
"38",41,"ML1","Nosek1","abington",0.133369739331158,0
"39",42,"ML1","Nosek1","abington",0.24077068819561,0
"40",43,"ML1","Nosek1","abington",0.228017154927787,1
"41",44,"ML1","Nosek1","abington",0.0457366069532796,0
"42",45,"ML1","Nosek1","abington",1.30776618574651,1
"43",46,"ML1","Nosek1","abington",-0.424314427237337,0
"44",47,"ML1","Nosek1","abington",-0.267655338470737,0
"45",49,"ML1","Nosek1","abington",0.860929354504213,1
"46",50,"ML1","Nosek1","abington",0.363639825283344,1
"47",51,"ML1","Nosek1","abington",0.999753978433018,1
"48",52,"ML1","Nosek1","abington",-0.353863310797556,1
"49",53,"ML1","Nosek1","abington",0.894799539434488,1
"50",55,"ML1","Nosek1","abington",0.511584703606529,1
"51",56,"ML1","Nosek1","abington",0.684502186288927,1
